#  old_rank	structure_name		score
166	939	ranked_939.pdb_clean	-684.5211362021237
167	732	ranked_732.pdb_clean	-684.2737728769
168	317	ranked_317.pdb_clean	-683.8727761032925
169	953	ranked_953.pdb_clean	-683.8439899167681
170	101	ranked_101.pdb_clean	-683.6210721700619
171	166	ranked_166.pdb_clean	-682.9295645424052
172	116	ranked_116.pdb_clean	-681.9283941907497
173	440	ranked_440.pdb_clean	-681.1326597617887
174	476	ranked_476.pdb_clean	-681.0827957998318
175	320	ranked_320.pdb_clean	-680.1190564739361
176	127	ranked_127.pdb_clean	-679.445080605307
177	704	ranked_704.pdb_clean	-678.2958448784423
178	184	ranked_184.pdb_clean	-677.9678041833798
179	442	ranked_442.pdb_clean	-677.816748999853
180	168	ranked_168.pdb_clean	-677.6172926672679
181	196	ranked_196.pdb_clean	-677.5372243424935
182	74	ranked_74.pdb_clean	-676.7458790000544
183	750	ranked_750.pdb_clean	-675.0127402398339
184	606	ranked_606.pdb_clean	-674.8331728507899
185	257	ranked_257.pdb_clean	-673.656605758058
186	297	ranked_297.pdb_clean	-673.3425521085379
187	284	ranked_284.pdb_clean	-672.9478598417177
188	844	ranked_844.pdb_clean	-672.8383999271736
189	109	ranked_109.pdb_clean	-672.3798297378684
190	565	ranked_565.pdb_clean	-672.1088652722901
191	423	ranked_423.pdb_clean	-671.1504231110176
192	215	ranked_215.pdb_clean	-671.0533037881626
193	710	ranked_710.pdb_clean	-669.3127477057736
194	155	ranked_155.pdb_clean	-669.1896262548736
195	496	ranked_496.pdb_clean	-668.811033890631
196	619	ranked_619.pdb_clean	-668.7667740118327
197	136	ranked_136.pdb_clean	-668.3338486460965
198	535	ranked_535.pdb_clean	-666.967345122123
199	584	ranked_584.pdb_clean	-666.8969649438147
200	125	ranked_125.pdb_clean	-666.430036326691
201	353	ranked_353.pdb_clean	-665.8733300526986
202	119	ranked_119.pdb_clean	-664.8326194398379
203	115	ranked_115.pdb_clean	-662.3975677432128
204	253	ranked_253.pdb_clean	-662.2279435196745
205	128	ranked_128.pdb_clean	-661.8962981454667
206	118	ranked_118.pdb_clean	-661.7942919748374
207	901	ranked_901.pdb_clean	-661.4372982480594
208	419	ranked_419.pdb_clean	-661.3828536551767
209	663	ranked_663.pdb_clean	-659.976998393129
210	664	ranked_664.pdb_clean	-659.5729725909781
211	190	ranked_190.pdb_clean	-658.9963364396823
212	342	ranked_342.pdb_clean	-658.5743134930929
213	322	ranked_322.pdb_clean	-657.3974489083685
214	151	ranked_151.pdb_clean	-656.8576223135916
215	189	ranked_189.pdb_clean	-656.5922883283049
216	299	ranked_299.pdb_clean	-655.5851597193679
217	108	ranked_108.pdb_clean	-654.390324945917
218	533	ranked_533.pdb_clean	-653.9829764617142
219	269	ranked_269.pdb_clean	-652.8553854844151
220	117	ranked_117.pdb_clean	-650.2075201222789
221	40	ranked_40.pdb_clean	-650.0651344356596
222	424	ranked_424.pdb_clean	-649.511971108946
223	759	ranked_759.pdb_clean	-649.2347720667174
224	518	ranked_518.pdb_clean	-648.6477024100739
225	334	ranked_334.pdb_clean	-646.6587313015995
