#  old_rank	structure_name		score
60	325	ranked_325.pdb_clean	-15.609864469951265
61	354	ranked_354.pdb_clean	-15.513055222927251
62	302	ranked_302.pdb_clean	-15.381154791238089
63	162	ranked_162.pdb_clean	-15.375037131570481
64	241	ranked_241.pdb_clean	-15.352926817669662
65	368	ranked_368.pdb_clean	-15.317789884648278
66	175	ranked_175.pdb_clean	-15.300523833175184
67	117	ranked_117.pdb_clean	-15.248705628893878
68	271	ranked_271.pdb_clean	-15.23081287291908
69	180	ranked_180.pdb_clean	-15.21281696279187
70	324	ranked_324.pdb_clean	-15.193327273989174
71	328	ranked_328.pdb_clean	-15.188033872168505
72	327	ranked_327.pdb_clean	-15.156547617629677
73	194	ranked_194.pdb_clean	-15.144115730944415
74	260	ranked_260.pdb_clean	-15.021688715932669
75	64	ranked_64.pdb_clean	-15.006343578996892
76	279	ranked_279.pdb_clean	-14.964163578099935
77	382	ranked_382.pdb_clean	-14.851944754544546
78	379	ranked_379.pdb_clean	-14.813721278559076
79	343	ranked_343.pdb_clean	-14.570600363654044
80	214	ranked_214.pdb_clean	-14.554600599611021
81	236	ranked_236.pdb_clean	-14.523607276037168
82	146	ranked_146.pdb_clean	-14.466928296125928
83	130	ranked_130.pdb_clean	-14.384290250590555
84	313	ranked_313.pdb_clean	-14.339288073212598
85	362	ranked_362.pdb_clean	-14.33028283235301
86	253	ranked_253.pdb_clean	-14.308452815712936
87	174	ranked_174.pdb_clean	-14.212748742277867
88	94	ranked_94.pdb_clean	-14.098703384669232
89	274	ranked_274.pdb_clean	-14.058685505741176
90	398	ranked_398.pdb_clean	-13.935199166702311
91	292	ranked_292.pdb_clean	-13.75020796171336
92	254	ranked_254.pdb_clean	-13.721208801611201
93	111	ranked_111.pdb_clean	-13.7098385419101
94	311	ranked_311.pdb_clean	-13.554814175283235
95	351	ranked_351.pdb_clean	-13.383157005219543
96	223	ranked_223.pdb_clean	-13.19374816951568
97	224	ranked_224.pdb_clean	-13.191847149091085
98	289	ranked_289.pdb_clean	-12.957425804990994
99	395	ranked_395.pdb_clean	-12.930384741931187
100	355	ranked_355.pdb_clean	-12.927014662060769
101	77	ranked_77.pdb_clean	-12.880546694672958
102	150	ranked_150.pdb_clean	-12.827954440696523
103	215	ranked_215.pdb_clean	-12.642232116048573
104	244	ranked_244.pdb_clean	-12.499280169616059
105	342	ranked_342.pdb_clean	-12.459801775513279
106	367	ranked_367.pdb_clean	-12.418690150187224
107	320	ranked_320.pdb_clean	-12.188440704727304
108	377	ranked_377.pdb_clean	-12.135950893354591
109	240	ranked_240.pdb_clean	-12.09580583896758
110	192	ranked_192.pdb_clean	-12.048853314702034
111	303	ranked_303.pdb_clean	-12.029099132599715
112	359	ranked_359.pdb_clean	-12.015269837434323
113	380	ranked_380.pdb_clean	-11.941344881928494
114	197	ranked_197.pdb_clean	-11.924006257758766
115	333	ranked_333.pdb_clean	-11.822924784663249
116	366	ranked_366.pdb_clean	-11.545898146785145
117	256	ranked_256.pdb_clean	-11.53445590804267
118	172	ranked_172.pdb_clean	-11.291249693421216
119	308	ranked_308.pdb_clean	-11.214802357761549
120	239	ranked_239.pdb_clean	-11.19936040358691
121	209	ranked_209.pdb_clean	-11.162989056504195
122	222	ranked_222.pdb_clean	-11.057100040596445
123	337	ranked_337.pdb_clean	-10.889574288470477
124	238	ranked_238.pdb_clean	-10.84530000932605
125	364	ranked_364.pdb_clean	-10.73117941027727
126	345	ranked_345.pdb_clean	-10.730188571579959
127	141	ranked_141.pdb_clean	-10.597566096855893
128	365	ranked_365.pdb_clean	-10.594748382872115
129	381	ranked_381.pdb_clean	-10.481141931362156
130	118	ranked_118.pdb_clean	-10.462830550110038
131	347	ranked_347.pdb_clean	-10.34352571474951
132	205	ranked_205.pdb_clean	-10.332893302306626
133	23	ranked_23.pdb_clean	-10.307990767808556
134	231	ranked_231.pdb_clean	-10.198879393284038
135	226	ranked_226.pdb_clean	-10.183798086558467
136	307	ranked_307.pdb_clean	-10.108553425031403
137	92	ranked_92.pdb_clean	-10.051047093700676
138	389	ranked_389.pdb_clean	-9.989068177340702
139	339	ranked_339.pdb_clean	-9.81233917227128
140	391	ranked_391.pdb_clean	-9.674602490776897
141	286	ranked_286.pdb_clean	-9.539457351049974
142	370	ranked_370.pdb_clean	-9.505349212814894
143	184	ranked_184.pdb_clean	-9.464944289743034
144	177	ranked_177.pdb_clean	-9.411731759129639
145	237	ranked_237.pdb_clean	-9.355477960978458
146	168	ranked_168.pdb_clean	-9.352678153328181
147	258	ranked_258.pdb_clean	-9.32068751407219
148	392	ranked_392.pdb_clean	-9.310804543084883
149	101	ranked_101.pdb_clean	-9.208178357243622
150	190	ranked_190.pdb_clean	-9.080205446998447
151	300	ranked_300.pdb_clean	-8.883704609375286
152	272	ranked_272.pdb_clean	-8.632380376179835
153	164	ranked_164.pdb_clean	-8.594905173999203
154	151	ranked_151.pdb_clean	-8.511523033998113
155	262	ranked_262.pdb_clean	-8.509200746290157
156	147	ranked_147.pdb_clean	-8.411503104078035
157	291	ranked_291.pdb_clean	-8.402998636837172
158	278	ranked_278.pdb_clean	-8.39254972663926
159	298	ranked_298.pdb_clean	-8.369640411347694
160	183	ranked_183.pdb_clean	-8.366714960327835
161	203	ranked_203.pdb_clean	-8.333739564346837
162	202	ranked_202.pdb_clean	-8.30330889253903
163	186	ranked_186.pdb_clean	-8.18140367138695
164	349	ranked_349.pdb_clean	-7.787957638885164
165	290	ranked_290.pdb_clean	-7.427671201348593
166	720	ranked_720.pdb_clean	-7.323903778005285
167	376	ranked_376.pdb_clean	-7.250426213733929
168	393	ranked_393.pdb_clean	-7.195234251894066
169	161	ranked_161.pdb_clean	-7.103067582192292
170	251	ranked_251.pdb_clean	-6.857082826361461
171	706	ranked_706.pdb_clean	-6.7954753438930595
172	134	ranked_134.pdb_clean	-6.734320404263357
173	338	ranked_338.pdb_clean	-6.577400437113713
174	268	ranked_268.pdb_clean	-6.461984809792952
175	295	ranked_295.pdb_clean	-6.4426117890810595
176	293	ranked_293.pdb_clean	-6.303043163313282
177	608	ranked_608.pdb_clean	-6.138893627574653
178	230	ranked_230.pdb_clean	-6.027781641659146
179	266	ranked_266.pdb_clean	-5.8067161585234786
180	275	ranked_275.pdb_clean	-5.796900643146987
181	296	ranked_296.pdb_clean	-5.747287486039955
182	390	ranked_390.pdb_clean	-5.391532096310282
183	361	ranked_361.pdb_clean	-5.318942503482244
184	666	ranked_666.pdb_clean	-5.303399032769063
185	323	ranked_323.pdb_clean	-4.949754758460788
186	387	ranked_387.pdb_clean	-4.644238154392637
187	724	ranked_724.pdb_clean	-4.613338041014321
188	614	ranked_614.pdb_clean	-4.315038328940865
189	316	ranked_316.pdb_clean	-4.074852667916623
