#  old_rank	structure_name		score
48	618	ranked_618.pdb_clean	-155.0086345452353
49	587	ranked_587.pdb_clean	-154.52498088573822
50	955	ranked_955.pdb_clean	-153.7599888557679
51	609	ranked_609.pdb_clean	-153.66050669629715
52	815	ranked_815.pdb_clean	-153.23784974647663
53	638	ranked_638.pdb_clean	-153.07076156463447
54	669	ranked_669.pdb_clean	-152.88842388377822
55	567	ranked_567.pdb_clean	-152.23542968259687
56	467	ranked_467.pdb_clean	-151.92029205080615
57	749	ranked_749.pdb_clean	-151.70605763350284
58	491	ranked_491.pdb_clean	-151.6696834750398
59	550	ranked_550.pdb_clean	-151.33864476440036
60	871	ranked_871.pdb_clean	-150.570840075456
61	606	ranked_606.pdb_clean	-150.52724146350687
62	357	ranked_357.pdb_clean	-149.72354392911166
63	535	ranked_535.pdb_clean	-149.57972472725243
64	469	ranked_469.pdb_clean	-148.89232533375633
65	874	ranked_874.pdb_clean	-148.6423474217209
66	650	ranked_650.pdb_clean	-148.0003175212046
67	732	ranked_732.pdb_clean	-147.16181803861508
68	959	ranked_959.pdb_clean	-146.36092763123582
69	715	ranked_715.pdb_clean	-145.70983735343216
70	753	ranked_753.pdb_clean	-145.44317990423087
71	731	ranked_731.pdb_clean	-145.42192805907348
72	728	ranked_728.pdb_clean	-145.36923556111086
73	592	ranked_592.pdb_clean	-145.3398411193461
74	538	ranked_538.pdb_clean	-145.23971807122354
75	940	ranked_940.pdb_clean	-145.07276793982118
76	557	ranked_557.pdb_clean	-145.03077381530352
77	904	ranked_904.pdb_clean	-144.74497906898767
78	520	ranked_520.pdb_clean	-144.66231426474593
79	479	ranked_479.pdb_clean	-144.34674294306626
80	651	ranked_651.pdb_clean	-144.3142056420719
81	859	ranked_859.pdb_clean	-144.166319534386
82	627	ranked_627.pdb_clean	-143.82599739014285
83	984	ranked_984.pdb_clean	-143.6326589192198
84	861	ranked_861.pdb_clean	-143.08489596885624
85	683	ranked_683.pdb_clean	-142.74802589365652
86	641	ranked_641.pdb_clean	-142.66577643466303
87	867	ranked_867.pdb_clean	-142.1206209810786
88	462	ranked_462.pdb_clean	-141.80924540949803
89	681	ranked_681.pdb_clean	-141.5446801658784
90	425	ranked_425.pdb_clean	-141.22818772273106
91	369	ranked_369.pdb_clean	-140.99453074268683
92	413	ranked_413.pdb_clean	-140.3739535691414
93	920	ranked_920.pdb_clean	-140.00848489692174
94	444	ranked_444.pdb_clean	-139.98878195632716
95	455	ranked_455.pdb_clean	-139.55566993652593
96	658	ranked_658.pdb_clean	-139.36567759188944
97	740	ranked_740.pdb_clean	-138.84598667831466
98	642	ranked_642.pdb_clean	-138.64928563425832
99	385	ranked_385.pdb_clean	-138.58798994330198
100	480	ranked_480.pdb_clean	-138.4424156554399
101	466	ranked_466.pdb_clean	-138.01005151388972
102	456	ranked_456.pdb_clean	-137.74605780022947
103	432	ranked_432.pdb_clean	-137.6338841814308
104	784	ranked_784.pdb_clean	-137.27744732732577
105	495	ranked_495.pdb_clean	-137.24956788178372
106	634	ranked_634.pdb_clean	-136.97441524062083
107	366	ranked_366.pdb_clean	-136.69164008299794
108	832	ranked_832.pdb_clean	-136.31048471885893
109	936	ranked_936.pdb_clean	-135.9335350803287
110	410	ranked_410.pdb_clean	-135.71467454693664
111	629	ranked_629.pdb_clean	-135.57741575304203
112	463	ranked_463.pdb_clean	-135.17086120966368
113	688	ranked_688.pdb_clean	-135.09574128218384
114	847	ranked_847.pdb_clean	-134.71790260790436
115	478	ranked_478.pdb_clean	-134.4415617994273
116	522	ranked_522.pdb_clean	-134.13257471069576
117	910	ranked_910.pdb_clean	-133.85887682025762
118	494	ranked_494.pdb_clean	-133.81702607455654
119	816	ranked_816.pdb_clean	-133.43785486025496
120	608	ranked_608.pdb_clean	-133.2287635831222
121	796	ranked_796.pdb_clean	-132.73599688534762
