#  old_rank	structure_name		score
85	402	ranked_402.pdb_clean	-244.82901877764183
86	584	ranked_584.pdb_clean	-244.58887836407578
87	304	ranked_304.pdb_clean	-244.5640875500011
88	310	ranked_310.pdb_clean	-244.34707495202443
89	183	ranked_183.pdb_clean	-244.19843562207637
90	239	ranked_239.pdb_clean	-244.13198168765504
91	455	ranked_455.pdb_clean	-243.8726638201088
92	454	ranked_454.pdb_clean	-243.77202321626623
93	375	ranked_375.pdb_clean	-243.39884059080362
94	524	ranked_524.pdb_clean	-242.94726488881682
95	285	ranked_285.pdb_clean	-241.57500569048344
96	434	ranked_434.pdb_clean	-241.312234067609
97	502	ranked_502.pdb_clean	-241.1129660475029
98	388	ranked_388.pdb_clean	-240.78613824999343
99	229	ranked_229.pdb_clean	-240.3636342959703
100	627	ranked_627.pdb_clean	-240.12013393889168
101	441	ranked_441.pdb_clean	-240.0080089398532
102	276	ranked_276.pdb_clean	-239.72845189325008
103	383	ranked_383.pdb_clean	-239.25739656214853
104	612	ranked_612.pdb_clean	-239.1951048168067
105	298	ranked_298.pdb_clean	-238.48905196066906
106	335	ranked_335.pdb_clean	-238.04200474924477
107	603	ranked_603.pdb_clean	-238.03115766511493
108	311	ranked_311.pdb_clean	-237.9276537313717
109	180	ranked_180.pdb_clean	-237.65317058207512
110	427	ranked_427.pdb_clean	-237.5339548084536
111	343	ranked_343.pdb_clean	-237.45619261923008
112	265	ranked_265.pdb_clean	-236.83483974414628
113	257	ranked_257.pdb_clean	-236.78401220683406
114	165	ranked_165.pdb_clean	-236.76291164293855
115	345	ranked_345.pdb_clean	-236.64279268312646
116	387	ranked_387.pdb_clean	-236.59708182335655
117	392	ranked_392.pdb_clean	-236.25850048768754
118	487	ranked_487.pdb_clean	-235.66091056664123
119	316	ranked_316.pdb_clean	-235.39606862205187
120	344	ranked_344.pdb_clean	-234.16109768115282
121	301	ranked_301.pdb_clean	-234.02897357310601
122	407	ranked_407.pdb_clean	-233.66995635449555
123	560	ranked_560.pdb_clean	-233.50792638256175
124	443	ranked_443.pdb_clean	-233.37301047445715
125	290	ranked_290.pdb_clean	-233.21242295517106
126	563	ranked_563.pdb_clean	-232.76265407352645
127	506	ranked_506.pdb_clean	-232.09916882063933
128	525	ranked_525.pdb_clean	-230.6064481479857
129	219	ranked_219.pdb_clean	-230.3923372716019
130	798	ranked_798.pdb_clean	-229.42561467964478
131	324	ranked_324.pdb_clean	-229.2889417492211
132	274	ranked_274.pdb_clean	-229.0877687442006
133	341	ranked_341.pdb_clean	-228.95452989713507
134	538	ranked_538.pdb_clean	-228.62209076637774
135	544	ranked_544.pdb_clean	-228.46335956490287
136	218	ranked_218.pdb_clean	-228.42491808082843
137	657	ranked_657.pdb_clean	-227.66957318632936
138	542	ranked_542.pdb_clean	-226.7775674743143
139	322	ranked_322.pdb_clean	-226.42921881873366
140	176	ranked_176.pdb_clean	-226.38733061446777
141	410	ranked_410.pdb_clean	-226.23190509941014
142	435	ranked_435.pdb_clean	-225.46717898012326
143	480	ranked_480.pdb_clean	-224.22864082475724
144	431	ranked_431.pdb_clean	-224.1656869198349
145	295	ranked_295.pdb_clean	-223.75969444855886
146	373	ranked_373.pdb_clean	-223.26578084825985
147	461	ranked_461.pdb_clean	-222.51148427790483
148	254	ranked_254.pdb_clean	-222.1454162359245
